               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.055019,            0.012733,                   0,              0.9933,             0.65625,             0.84612,             0.39007,            0.048119,           0.0065234,                   0,           0.0065598,           0.0065598,           0.0065598
                 141,            0.050083,            0.010068,                   0,             0.88163,             0.82812,             0.89184,             0.48715,             0.04769,           0.0064915,                   0,            0.006535,            0.006535,            0.006535
                 142,            0.057419,            0.011036,                   0,             0.87134,             0.73438,             0.86607,             0.54846,            0.044278,           0.0064469,                   0,           0.0065102,           0.0065102,           0.0065102
                 143,            0.047075,            0.010006,                   0,             0.92587,             0.78065,             0.85437,              0.2783,            0.049618,           0.0066035,                   0,           0.0064855,           0.0064855,           0.0064855
                 144,            0.058587,           0.0097726,                   0,             0.92587,             0.78065,             0.85437,              0.2783,            0.049618,           0.0066035,                   0,           0.0064608,           0.0064608,           0.0064608
                 145,            0.050797,             0.01218,                   0,             0.93926,             0.78125,             0.87569,             0.39905,            0.045098,           0.0065871,                   0,            0.006436,            0.006436,            0.006436
                 146,            0.056611,           0.0098422,                   0,             0.57958,             0.64625,             0.62945,             0.39311,            0.050705,           0.0064863,                   0,           0.0064112,           0.0064112,           0.0064112
                 147,             0.05865,            0.010789,                   0,             0.99479,             0.65625,             0.85295,             0.54356,             0.03903,           0.0066084,                   0,           0.0063865,           0.0063865,           0.0063865
                 148,            0.048433,            0.010323,                   0,             0.99479,             0.65625,             0.85295,             0.54356,             0.03903,           0.0066084,                   0,           0.0063618,           0.0063618,           0.0063618
                 149,            0.050042,            0.011361,                   0,             0.97867,             0.71688,             0.90379,             0.50629,            0.039058,           0.0066404,                   0,            0.006337,            0.006337,            0.006337
                 150,            0.051255,           0.0097984,                   0,             0.83038,             0.82812,             0.91141,             0.59265,            0.039061,           0.0065547,                   0,           0.0063122,           0.0063122,           0.0063122
                 151,            0.046624,           0.0096561,                   0,                   1,             0.67073,             0.85161,              0.3989,            0.044405,           0.0064804,                   0,           0.0062875,           0.0062875,           0.0062875
                 152,            0.055682,           0.0095506,                   0,                   1,             0.67073,             0.85161,              0.3989,            0.044405,           0.0064804,                   0,           0.0062628,           0.0062628,           0.0062628
                 153,            0.054881,           0.0092182,                   0,                   1,             0.68095,             0.84054,             0.52665,            0.044184,           0.0063995,                   0,            0.006238,            0.006238,            0.006238
                 154,            0.054146,            0.010237,                   0,             0.89585,             0.80648,             0.91117,             0.56742,            0.036558,           0.0066717,                   0,           0.0062132,           0.0062132,           0.0062132
                 155,            0.051401,            0.010826,                   0,             0.76912,             0.71875,             0.82949,             0.40963,            0.044649,           0.0065295,                   0,           0.0061885,           0.0061885,           0.0061885
                 156,            0.056062,           0.0079483,                   0,             0.76912,             0.71875,             0.82949,             0.40963,            0.044649,           0.0065295,                   0,           0.0061637,           0.0061637,           0.0061637
